;votes;metascore;Action;Drama;Sci-Fi;Advendture;Fantasy;Comedy;History;Horror;Mystery;Thriller;Crime;Animation;Family;Musical;Romance;Sport;Biography;Music;Western;imdb_encoding
208;356056;45;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
209;340987;87;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
210;334367;75;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
211;324208;81;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1
212;289796;58;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
213;254807;65;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1
214;253913;62;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
215;251172;44;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
216;244030;39;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
217;240209;65;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
218;215486;48;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1
219;214275;82;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
220;206976;94;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
221;193695;54;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
222;193656;52;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
223;192655;56;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
224;186800;52;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
225;185436;73;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1
226;180393;93;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
227;179879;41;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
228;174951;75;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
229;174357;47;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
230;164360;34;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
231;163498;63;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
232;161419;77;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
233;158339;29;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
234;154358;75;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1
235;152059;51;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
236;150016;37;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
237;146205;65;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
238;127696;27;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
239;124839;66;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
240;124621;76;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
241;124218;75;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1
242;120967;83;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1
243;119404;71;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1
244;118830;34;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
245;116534;78;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1
246;112074;86;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1
247;104721;67;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
248;103622;58;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
249;103496;73;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1
